,作者,字数,小说名称,最新章节,类别,年份,月份,日
35,黑弦,424.21,一言通天,第1904章九重天外（大结局）,「仙侠·幻想修仙」,2018,4,17
36,金色茉莉花,422.69,我的时空穿梭手机,新书发布！！！！,「科幻·时空穿梭」,2018,2,12
37,干煸鱿鱼须,422.57,无限之地球人的逆袭,完本感言,「科幻·时空穿梭」,2015,6,1
38,虚空人形,421.54,某御坂妹的综漫之旅,完本感言,「二次元·衍生同人」,2018,6,4
39,全金属弹壳,420.22,黄金渔场,实体书下月发布，番外1正式发布,「都市·都市生活」,2016,4,1
40,火中物,420.13,随身带着女神皇,《随身带着女神皇》漫画上线啦！,「都市·青春校园」,2017,11,24
41,云鹤真人,420.03,仙府道途,结束语！,「仙侠·幻想修仙」,2014,3,17
42,暗魔师,418.43,异世药神,第一千三百七十一章超脱轮回（大结局）,「玄幻·异世大陆」,2013,7,23
43,皇甫奇,418.05,帝御山河,第六百二十四章金色袈裟和尚(大结局）,「玄幻·东方玄幻」,2016,4,7
44,我吃西红柿,417.94,莽荒纪,番茄新书《飞剑问道》第一章已经上传！,「仙侠·修真文明」,2015,9,24
45,墨武,417.35,江山美色,六一五节风声（大结局）,「历史·两晋隋唐」,2016,2,22
46,风凌天下,417.18,异世邪君,新书《天域苍穹》登陆起点！希望大家支持！,「玄幻·异世大陆」,2015,1,20
47,骑猪的胖子,416.83,墨门飞甲,后记,「游戏·虚拟网游」,2014,4,3
48,狂奔的海马,416.38,仙壶农庄,求各位小伙伴鼎力支持海马的新书《诸天世界大穿梭》,「都市·异术超能」,2015,10,30
49,打眼,416.29,黄金瞳,新书《神藏》，大家多多支持！,「都市·都市生活」,2012,3,21
0,羽的法术书,415.83,大妖通灵,第1342章大结局探索未知之人,「仙侠·修真文明」,2018,1,1
1,古剑锋,415.38,星际游轮,第1320章永恒（完）,「科幻·未来世界」,2011,7,22
2,薪意,415.23,神门,《神幻》可以搜到啦！,「玄幻·东方玄幻」,2018,7,16
3,京城浪子,413.53,雅拉冒险笔记,新书《无光之月》,「奇幻·剑与魔法」,2016,12,20
4,黑瞳王,413.3,最后人类,新书《末世兽医》上传,「科幻·进化变异」,2015,6,5
5,云和山的此端,413.29,百度宅男当崇祯,第八百二十三章大结局【全书完】,「历史·两宋元明」,2012,12,31
6,少穿的内裤,413.12,大唐绿帽王,第859章崩塌,「历史·两晋隋唐」,2014,9,29
7,小小羽,412.76,超级黄金手,完本感言,「都市·都市生活」,2012,7,29
8,血红,411.86,巫神纪,3月18号的线下活动！,「玄幻·东方玄幻」,2017,12,22
9,石闻,411.82,两界搬运工,完本感言,「科幻·时空穿梭」,2018,7,6
10,吃仙丹,411.67,捡宝生涯,新书《翊神相》,「都市·都市生活」,2018,6,4
11,老哲,411.51,抗日小山传奇,老哲新书《抗联薪火传》发布了，欢迎围观！,「军事·抗战烽火」,2018,6,27
12,上山打老虎额,411.33,庶子风流,完本感言，新书《大文豪》求支持,「历史·两宋元明」,2017,6,15
13,安化军,411.13,一世富贵,第103章岁月如歌（大结局）,「历史·两宋元明」,2018,3,6
14,晚间八点档,410.95,魔法工业帝国,新书《捡到一个封神榜》已发，各位书友鼎力支持,「玄幻·异世大陆」,2016,2,3
