,作者,字数,小说名称,最新章节,类别,年份,月份,日
15,天天不休,410.73,狂狮少帅,正式完本，本书最后求支持。,「体育·足球运动」,2015,4,22
16,七十二编,410.67,冒牌大英雄,还有谁不知道新书《裁决》已经肥了快上架的？,「科幻·古武机甲」,2011,7,29
17,君子毅,409.5,三国之席卷天下,新书以上传,「历史·秦汉三国」,2015,9,28
18,剑游太虚,409.44,剑道独尊,新书《通天剑主》,「玄幻·东方玄幻」,2015,7,8
19,酒煮核弹头,409.09,至高悬赏,新书已发，《怪物乐园》，请大家多多支持！,「科幻·未来世界」,2016,12,31
20,月关,408.89,醉枕江山,新书《夜天子》已发，书号3234652，敬请欣赏！,「历史·两晋隋唐」,2014,7,15
21,懒猫不瘦,408.87,三国之模拟城市,新书《三国领主时代》已上传,「游戏·虚拟网游」,2015,3,16
22,胖子爱吃炖豆角,408.3,弃僧,第一百三十一章梦？（大结局！）,「玄幻·异世大陆」,2017,10,9
23,月中阴,407.91,血脉录,完本感言以及新书发布！,「仙侠·幻想修仙」,2013,10,28
24,穿过红尘,407.53,我叫术士,第一千两百八十七章好吧，大结局吧,「都市·异术超能」,2015,10,8
25,玄雨,407.1,神武飞扬,完结感言：,「玄幻·东方玄幻」,2016,8,8
26,鱼人二代,406.18,极品修真强少,第1558章T08暑假,「都市·异术超能」,2016,6,16
27,傲月长空,405.63,不朽圣尊,第一百七十五章圣尊境界！（大结局！）,「玄幻·东方玄幻」,2016,10,8
28,打眼,405.51,宝鉴,新书《神藏》，大家多多支持！,「都市·都市生活」,2015,8,13
29,大罗罗,405.46,天朝之梦,新书上传，求收藏，求支持,「历史·清史民国」,2015,4,23
30,血月客,404.93,仙武世界大反派,完本感言！,「科幻·时空穿梭」,2017,10,20
31,东城飘雨,404.59,子弹世界,终章,「游戏·虚拟网游」,2016,1,31
32,牧尘客,404.04,混世矿工,新书《都市罪梦》上传！,「都市·异术超能」,2017,12,1
33,闪烁,403.94,星际强兵,终章无限未来,「科幻·星际文明」,2017,4,2
34,红金,402.57,武动仙惊,第一千一百八十八章风过红尘，浪迹逍遥（全书完）,「玄幻·东方玄幻」,2013,5,8
35,QQ爸爸,402.46,混沌之穿越异界,完本感言,「玄幻·异世大陆」,2014,5,5
36,风中的失落,402.46,大明政客,第一千三百零九章一个传奇（尾声）,「历史·两宋元明」,2014,6,10
37,晚间八点档,401.76,光脑武尊,新书《捡到一个封神榜》上传了~,「科幻·古武机甲」,2018,1,15
38,38大虾,401.71,仙界网络直播间,新书发布，兄弟姐妹们，求支持！！,「都市·都市生活」,2018,3,12
39,冰火阑珊,401.58,黄金遁,新书《大仙农》已经上传。,「都市·都市生活」,2014,4,30
40,茶头,401.01,远东1628,第一千六百六十七章大结局,「历史·两宋元明」,2017,4,24
41,晨星LL,400.99,我在末世有套房,新书《学霸的黑科技系统》,「科幻·时空穿梭」,2017,8,29
42,淡定从容的某人,400.65,雄霸蛮荒,第1335章大超脱，大逍遥（大结局）,「玄幻·东方玄幻」,2016,7,12
43,Deathstate,400.6,红怜宝鉴,第一千三百六十七章：开始（结局）,「玄幻·东方玄幻」,2015,4,14
44,妖仙公子,399.9,人族训练场,完本感言加新书预告,「科幻·时空穿梭」,2016,11,30
45,轩樟,399.41,甲午崛起,【1397完美大结局】,「历史·清史民国」,2017,10,9
46,想枕头的瞌睡,398.39,网游之三国王者,完本感言,「游戏·虚拟网游」,2014,11,3
47,东东是个胆小鬼,397.77,无限之升级系统,新书求支持！！！,「科幻·时空穿梭」,2015,11,30
48,银河九天,397.48,首席御医,完本感言,「都市·都市生活」,2014,7,22
49,易门,397.28,重生之大罗金仙,第一千七百二十章远古（上）,「玄幻·王朝争霸」,2017,7,11
0,五彩贝壳,397.25,神级大矿主,后记,「都市·都市生活」,2018,2,1
1,云天明,396.84,网游之金庸奇侠传,第一千零四十二章论道，道成！（大结局）,「游戏·虚拟网游」,2012,3,28
2,草上匪,395.69,草清,第一千零二十五章圣道去，末圣至（大结局）,「历史·清史民国」,2013,6,17
3,徐公子胜治,395.6,太上章,写在完本之际,「玄幻·东方玄幻」,2017,5,31
4,孤独漂流,395.24,万妖之祖,新书《永恒国度》,「仙侠·幻想修仙」,2012,2,29
5,兰陵王小生,394.21,狮子兽的征途,第两千两百九十二章基尔加丹（愚人节快乐啊！大结局！）,「科幻·时空穿梭」,2018,4,3
6,天蚕土豆,393.14,武动乾坤,新书大主宰已发。,「玄幻·东方玄幻」,2013,10,24
7,落寞的蚂蚁,392.15,寻宝美利坚,第1306章终章（新书道爷之肆虐娱乐圈已上传求收藏）,「都市·异术超能」,2017,1,13
8,血红,391.36,三界血歌,我心之殇暨完本感言！,「仙侠·幻想修仙」,2015,7,8
9,牛家一郎,391.1,大汉科技帝国,第258章，超级文明大汉科技帝国（大结局）,「科幻·超级科技」,2017,12,7
10,荣誉与忠诚,390.87,大秦之帝国再起,新书《席卷天下》已在起点连载,「历史·秦汉三国」,2016,8,3
11,七月新番,390.44,春秋我为王,我回来了，却是带着新书回来的,「历史·上古先秦」,2017,3,20
12,华表,390.25,龙骑战机,完本手记,「科幻·时空穿梭」,2015,9,25
13,虎躯巨震,389.28,星际农场主,第1119章大结局（请支持正版订阅）,「科幻·超级科技」,2013,1,7
14,笙箫剑客,388.96,网游之全球在线,新书《废土国度》已发布,「游戏·虚拟网游」,2018,3,9
15,冰临神下,388.56,死人经,新书《谋断九州》发布,「武侠·武侠幻想」,2014,7,9
16,八月飞鹰,388.45,史上最强师兄,新书《星空之主》发布！,「玄幻·东方玄幻」,2018,4,24
17,夏日易冷,388.2,召唤神兵,感言，感谢！,「玄幻·异世大陆」,2014,12,19
18,沐还刃,387.57,光路星途,第六章：反派角色,「都市·都市生活」,2016,6,12
19,熊猫胖大,387.4,电影世界大抽奖,新书《重生之白首不相离》已经上传,「科幻·时空穿梭」,2017,12,25
20,因顾惜朝,387.07,重铸清华,隆重推荐新书《红楼大官人》,「历史·清史民国」,2017,4,18
21,不如踢球,386.56,带刀后卫,第四卷 世界杯传说 第132章足球王国的血性和尊严,「体育·足球运动」,2011,12,5
22,金属裂纹,385.75,重装突击,后记及新书广告,「科幻·星际文明」,2015,7,9
23,空山烟雨1,385.65,末世超级商城,第一千一百一十三章终章,「科幻·末世危机」,2016,9,1
24,低声轻语,385.6,韩娱之任务系统,新书已发,「都市·娱乐明星」,2016,10,8
25,辰机唐红豆,385.21,重生之神级败家子,开新书啦！《神级幸运星》已上传！,「都市·异术超能」,2015,8,13
26,零下5度01,384.82,造化炼体决,第一千六百零五章：混元一体，造化金身！（大结局）,「玄幻·东方玄幻」,2017,10,25
27,余民,384.25,无上仙运,第八百六十四章终章,「仙侠·幻想修仙」,2018,3,13
28,陈风笑,384.16,狂仙,新书已上架，《大数据修仙》,「仙侠·修真文明」,2016,1,20
29,EK巧克力,383.03,剑逆苍穹,新书《超武穿梭》发布！！！,「玄幻·东方玄幻」,2014,2,6
30,温酒煮花生,382.66,朝元,结局了，吹吹牛,「仙侠·幻想修仙」,2015,2,11
31,杰奏,381.84,重生科技狂人,完本感言,「都市·都市生活」,2017,8,11
32,月关,381.79,锦衣夜行,《醉枕江山》，依旧月关！,「历史·两宋元明」,2012,11,2
33,秣陵别雪,381.67,华山仙门,第一千二百五十七章大结局，轮回！,「仙侠·修真文明」,2012,9,24
34,试剑天涯,381.62,半仙文明,新书《仙域科技霸主》再续辉煌,「科幻·超级科技」,2015,11,18
35,蠢蠢凡愚QD,381.39,汽车黑科技,完本感言,「都市·异术超能」,2018,6,26
36,沙包包,381.28,异界之机关大师,完本感言：如果你的话……,「玄幻·异世大陆」,2015,2,15
37,蒙白,380.71,剑傲重生,完本感言与新书公告,「玄幻·东方玄幻」,2013,12,25
38,虚无之刃,380.1,幻想世界穿越法则,完本感言！,「科幻·时空穿梭」,2017,9,22
39,雾外江山,379.9,仙傲,第一千一百九十四章大结局（新书《大道独行》）,「仙侠·幻想修仙」,2011,3,31
40,兰帝魅晨,379.59,高手寂寞2,结局感言新书计划求月票！,「游戏·游戏异界」,2014,1,1
41,衣冠胜雪,379.47,无尽剑装,完本感言以及新书《旷世妖师》已发！,「玄幻·东方玄幻」,2013,12,27
42,猫腻,379.31,庆余年,新书间客，书号：1223147，欢迎大家践踏……,「历史·架空历史」,2009,6,16
43,血红,378.07,偷天,这一切都还没完兼后记,「仙侠·修真文明」,2012,6,1
44,中秋月明,376.03,草根石布衣,新书《我真是个富二代》开始了,「都市·都市生活」,2017,12,21
45,秣陵别雪,375.83,仙锻,第二百三十四章（3）大决战，大结局,「仙侠·幻想修仙」,2011,5,31
46,蝴蝶蓝,375.34,网游之近战法师,总结（免费）,「游戏·虚拟网游」,2011,3,1
47,猫腻,374.83,将夜,汇报三件事情,「玄幻·东方玄幻」,2014,5,12
48,猫跳,372.18,锦医卫,1146章克承大统,「历史·两宋元明」,2013,7,1
49,皇甫奇,371.22,大周皇族,第一千一百六十四章亿万年的宿命（大结局）,「玄幻·东方玄幻」,2012,6,6
0,黑瞳王,370.72,神魔养殖场,后记（本章免费）,「科幻·进化变异」,2014,8,25
1,流浪诗人,370.64,大明孤狼,第一千一百一十二章完结,「历史·两宋元明」,2010,10,12
2,月关,369.83,回到明朝当王爷,469不拆长城非好汉(大结局）,「历史·两宋元明」,2013,8,6
3,快餐店,369.46,仙鸿路,【大结局&#183;终章】,「仙侠·幻想修仙」,2012,1,31
4,第十个名字,369.26,重生潜入梦,《大宋有毒》新书上传,「都市·都市生活」,2015,11,12
5,期度,369.13,修真炮灰逆典,第一千两百一十四章殿堂（大结局）,「玄幻·王朝争霸」,2016,6,8
6,完颜小白,369.07,械医,完本感言,「都市·异术超能」,2015,11,11
7,跳舞,368.91,恶魔法则,【恶魔法则后传已经开始了！】,「玄幻·异世大陆」,2013,3,22
8,敢为,368.68,我就是太平洋,新书出来了,「都市·都市生活」,2017,7,21
9,写字板,368.38,张三丰异界游,新书《仙之雇佣军》已经上传，讲述神话背景下的星际争霸,「玄幻·异世大陆」,2013,12,2
10,汉宝,368.16,异世医仙,01227命运,「玄幻·异世大陆」,2014,4,27
11,道在不可见,368.1,无尽神器,新书《紫霄》已发布，求支持！！,「玄幻·东方玄幻」,2017,8,30
12,庭雨,367.57,魔痕,完本感言,「玄幻·异世大陆」,2013,7,4
13,木木呆呆,366.25,别笑哥抓鬼呢,新书已发布！！！,「灵异·灵异鬼怪」,2016,2,17
14,林海听涛,364.76,冠军之心,后记,「体育·足球运动」,2018,5,28
15,葆星,364.69,武气凌天,检讨的感言！,「玄幻·东方玄幻」,2014,10,24
16,流泪的鱼wyj,364.6,铁血德意志,完本感言！,「军事·军事战争」,2018,4,9
17,昨夜大雨,364.37,会穿越的外交官,番外一：大雨新书发布，书名“位面之纨绔生涯”,「科幻·时空穿梭」,2017,8,14
18,临海狸猫,363.77,最强杀手系统,完本总结,「玄幻·异世大陆」,2015,5,20
19,乾拾,363.55,武法无天,总该说些什么，我的完本感言,「玄幻·东方玄幻」,2014,5,14
20,当心枪走火,363.51,死灵术士闯异界,推荐本有节操的书《枪神》,「游戏·游戏异界」,2013,8,27
21,雨去欲续,363.26,重生之2006,完本感言,「都市·都市生活」,2018,8,6
22,寂寞读南华,362.48,官策,后记三国|际陈！,「都市·官场沉浮」,2014,5,8
23,黑暗荔枝,362.43,我的女友是丧尸,完本感言,「科幻·末世危机」,2015,7,1
24,罗森,362.41,风姿物语,第二十三集（完结篇）第八章,「玄幻·王朝争霸」,2006,1,20
25,追梦人Love平,361.55,邪道鬼尊,完本感言,「仙侠·幻想修仙」,2015,4,11
26,糖苦咖啡,361.33,霸世剑尊,完本感言,「玄幻·东方玄幻」,2014,6,19
27,冰临神下,361.14,拔魔,新书《谋断九州》发布,「仙侠·修真文明」,2015,12,28
28,御炎,361.04,贞观攻略,一千我有一个梦想（大结局）,「历史·两晋隋唐」,2015,6,3
29,雨辰宇,360.66,武极巅峰,新书上传，求支持！~,「玄幻·东方玄幻」,2017,3,7
30,跃千愁,359.85,修真界败类,第一二五五章曾经沧海（终）,「仙侠·幻想修仙」,2012,3,28
31,青史尽成灰,359.59,大宋将门,新书《我的邻居是皇帝》已经正式上传……,「历史·两宋元明」,2018,3,30
32,高月,359.12,江山战图,第1250章大结局【全书完】,「历史·两晋隋唐」,2017,5,18
33,青史尽成灰,358.9,我要做首辅,番外——遍地为王，中东记事,「历史·两宋元明」,2016,12,23
34,资产暴增,358.84,神魔系统,完本感言！,「科幻·末世危机」,2013,9,5
35,文抄公,357.65,巫界术士,完本感言兼推新书武林半侠传,「奇幻·剑与魔法」,2016,4,18
36,晴了,357.59,调教初唐,第1085章调教完毕……,「历史·架空历史」,2008,11,22
37,liuyuxi,357.31,不可名状舰娘的镇守府,新书《我和我的冒险团》已经发布，可以直接搜索作者就能看到。,「游戏·游戏异界」,2017,12,30
38,堕落的狼崽,357.16,大唐一品,第七百一十三回终章,「历史·两晋隋唐」,2012,5,8
39,火树嘎嘎,356.2,丹武乾坤,新书《屠神》已开,「玄幻·东方玄幻」,2013,10,15
40,泡菜胡萝卜,356.03,网游之屠夫,210调整方向（大结局）,「游戏·虚拟网游」,2013,8,2
41,弥煞,355.74,无尽世界直播系统,完本感言,「玄幻·异世大陆」,2018,5,9
42,刹那辉煌,355.53,无限冒险指南,后记,「科幻·时空穿梭」,2017,9,14
43,天惊,354.71,重生海贼王之副船长,结局感言,「二次元·衍生同人」,2017,12,18
44,青龙梦凌君,354.5,妖灵动漫社,青龙，梦，凌君,「仙侠·现代修真」,2017,12,12
45,何不语,354.42,觅仙路,大结局（全书完）,「仙侠·修真文明」,2013,7,27
46,吃仙丹,354.09,鉴宝人生,新书《翊神相》,「都市·都市生活」,2015,8,9
47,跳舞,353.74,猎国,第五百八十五章【大结局！】,「玄幻·异世大陆」,2013,4,23
48,阿菩,353.65,唐骑,后记,「历史·架空历史」,2014,12,31
49,纸生云烟,353.6,重生在神话世界,新书《重生西游之证道诸天》求支持,「仙侠·修真文明」,2018,8,6
0,我爱黄花白,353.55,武傲乾坤,完本感言,「玄幻·异世大陆」,2016,1,4
1,木子蓝色,353.51,晚唐,新书《唐朝好地主》发布，请大家多多支持。,「历史·架空历史」,2014,8,9
2,弹指一笑间,353.44,恶灵国度,一笑新书恐慌世界发布。,「灵异·恐怖惊悚」,2017,11,29
3,范西屏,353.44,大时代之金融之子,第五五四章隐退（大结局）,「都市·都市生活」,2016,12,31
4,脑袋空空如也,353.33,独占星光,1087大结局（1）,「都市·娱乐明星」,2012,10,1
5,一三五七九,351.77,上位,【1038】大结局,「都市·都市生活」,2015,9,26
6,随心随性随喜,351.45,异次元游戏,第三百六十七章终焉，归元之战（完）,「科幻·时空穿梭」,2018,4,3
7,高月,351.07,天下枭雄,尾声,「历史·两晋隋唐」,2013,5,17
8,特别白,350.98,锦衣当国,后记：谢谢大家,「历史·两宋元明」,2012,1,14
9,夏炎炎,350.29,神器铸造师,第一千一百零七章宇宙之心（大结局）,「玄幻·异世大陆」,2013,4,29
10,一江寒月,350.23,超级全能控卫,新书《超级传奇巨星》已发！,「体育·篮球运动」,2017,3,30
11,老白牛,350.22,明末边军一小兵,完本感言,「历史·两宋元明」,2016,8,23
